Feeder Name,Grid,1st Cycle,2nd Cycle,3rd Cycle,4th Cycle
New Sabzi Mandi,KDA,0735~0935,1105~1335,1505~1805,2035~2305
New Zakiria Goth,KDA,1105~1335,1505~1805,1935~2205,0005~0205
Nice Bakers,North Karachi,0935~1205,1335~1635,1805~2035,2235~0035
Night Slum,Lyari,1005~1235,1435~1735,1905~2135,2305~0105
Nishan E Haider,Orangi Town,1105~1235,1505~1635,1805~1935,0035~0205
Nital Colony,Haroonabad,1005~1235,1435~1735,1905~2135,2305~0105
Noor Bhai,Korangi East,0735~0935,1105~1335,1505~1805,2035~2305
Noorani Masjid RMU,Baldia,1005~1235,1435~1735,1905~2135,2305~0105
Noori Baba RMU,Jail Road,0905~1135,1335~1635,1805~2035,2205~0005
Noori Police,Orangi Town,0735~1005,1205~1505,1635~1905,2105~2305
North Vista,Azizabad,0705~0835,1135~1305,1535~1705,1905~2035
Northern Bypass,Gulshan-E-Maymar,0735~0935,1105~1335,1535~1835,2035~2305
Northern Electric,Baldia,0705~0905,1105~1335,1505~1805,1935~2205
Nucles House,Korangi Town,0935~1105,1335~1505,1635~1805,2235~0005
Nusrat Bhutto More,Valika,0705~0835,1135~1305,1535~1705,1905~2035
Oakland School (Ex-Pole 19),Surjani Town,0935~1205,1335~1635,1805~2035,2235~0035
Ocean Lawn RMU,Shadman,0935~1105,1335~1505,1705~1835,2305~0035
Offbeat Street,Old Town,1005~1235,1435~1735,1905~2135,2305~0105
Okhai Memon,Old Town,1005~1235,1435~1735,1905~2135,2305~0105
Old Golimar,Old Golimar,0705~0935,1135~1435,1635~1905,2035~2235
Old Haji Camp,Old Town,1005~1235,1435~1735,1905~2135,2305~0105
Old Jacobline,Jacobline,0735~1005,1205~1505,1635~1905,2035~2235
Old Thana,Korangi South,1035~1305,1505~1805,1935~2205,0005~0205
Old Town RMU - 2,Old Town,0935~1205,1335~1635,1805~2035,2205~0005
Olympic Pride (Ex-Pole 12/13 Sector L1),Surjani Town,0705~0835,1135~1305,1535~1705,1905~2035
Omni Bus,P R L,0835~1105,1235~1535,1705~1935,2135~2335
Opel Lab,Korangi East,1035~1305,1505~1805,1935~2205,0005~0205
Orangi Ice,North Nazimabad,0735~1005,1205~1505,1635~1905,2035~2235
Orangi Medicos,Site,0705~0935,1205~1505,1635~1905,2035~2235
P & T Colony,Gizri,0705~0935,1205~1505,1635~1905,2035~2235
Pahar Ganj,North Nazimabad,1035~1305,1505~1805,1935~2205,0005~0205
Pak Hye Oil,Korangi Town,1035~1205,1335~1505,1735~1905,0005~0135
Pak Ice,Old Town,0705~0935,1135~1435,1635~1905,2035~2235
Pak Steel Yard RMU,Gulshan-E-Maymar,1105~1335,1505~1805,1935~2205,0005~0205
Pakhtoon Chowk,Korangi Town,1035~1205,1335~1505,1735~1905,0005~0135
Pakistan Bazar,Baldia,0935~1205,1335~1635,1805~2035,2205~0005
Paras,Civic Center,0705~0835,1205~1335,1535~1705,2135~2305
Parco 3,P R L,0805~0935,1235~1405,1535~1705,2135~2305
Parsi Trust,Gizri,0935~1205,1335~1635,1805~2035,2235~0035
Pasban Masjid,Garden East,0705~0935,1135~1435,1635~1905,2035~2235
Pawel Cell,Hub Chowki,0705~0935,1135~1435,1635~1905,2035~2235
Pechs Block 2,Jacobline,0735~1005,1205~1505,1635~1905,2035~2235
Peer Mahfooz,Airport 2,0805~0935,1235~1405,1535~1705,2135~2305
Peerabad,Haroonabad,0735~1005,1205~1505,1635~1905,2105~2305
Peetal Gali,Jail Road,1035~1305,1505~1805,1935~2205,0005~0205
Pehelwan Goth (Ex. Safari Blessings(Ex- Rabia Associates),Gulistan E Johar,1105~1335,1505~1805,1935~2205,0005~0205
Pentium 4,Shadman,0935~1205,1335~1635,1805~2035,2235~0035
People'S Colony Pole,North Karachi,0705~0935,1205~1505,1635~1905,2035~2235
Peshawari Ice Cream RMU,Baloch Colony,0905~1135,1335~1635,1805~2035,2205~0005
Pipe Factory,Gulshan,1035~1305,1505~1805,1935~2205,0005~0205
"Pole ,56",Korangi Town,0935~1105,1335~1505,1635~1805,2235~0005
Pole 1,Landhi,0735~0935,1105~1335,1505~1805,2035~2305
Pole 17,North Karachi,0935~1205,1335~1635,1805~2035,2235~0035
Pole 30,Valika,0735~1005,1205~1505,1635~1905,2105~2305
Pole 49,Valika,0705~0935,1205~1505,1635~1905,2035~2235
Pole 58 RMU,Memon Goth,0835~1105,1235~1535,1705~1935,2205~0005
Pole 62,Valika,0735~1005,1205~1505,1635~1905,2105~2305
Pole 70,P R L,0835~1105,1235~1535,1705~1935,2135~2335
Pole-20,Federal B,0735~1005,1205~1505,1635~1905,2035~2235
Poly Trade,Port Qasim,0935~1205,1335~1635,1805~2035,2235~0035
Poona Wala,Clifton,0735~1005,1205~1505,1635~1905,2105~2305
Prem Villas,Gulistan E Johar,0835~1105,1235~1535,1705~1935,2205~0005
Prince Ali,KDA,0705~0935,1135~1435,1635~1905,2035~2235
Pulia Wala,Orangi Town,0705~0935,1205~1505,1635~1905,2035~2235
Pumping Pmt 1 RMU,Mehmoodabad,0705~0835,1205~1335,1535~1705,2135~2305
Punjab Town,Airport 2,0805~0935,1235~1405,1535~1705,2135~2305
Pwd Pumping2,Liaquatabad,0935~1205,1335~1635,1805~2035,2235~0035
Qadir Khan RMU,Lyari,1005~1235,1435~1735,1905~2135,2305~0105
Qaim Khani Pole 23,Baldia,1005~1235,1435~1735,1905~2135,2305~0105
Qalandarabad,Gulistan E Johar,0805~0935,1235~1405,1535~1705,2135~2305
Qasba Pumping,Valika,0735~1005,1205~1505,1635~1905,2105~2305
Qasim Bhai Moosa Bhai,Garden East,0935~1205,1335~1635,1805~2035,2235~0035
Qazzafi Chowk,Orangi Town,0705~0835,1205~1335,1535~1705,2035~2205
Qdc,Civic Center,0905~1135,1335~1635,1805~2035,2205~0005
Quaidabad Shopping Centre,Landhi,0935~1205,1335~1635,1805~2035,2235~0035
Quetta Town,Gulshan-E-Maymar,1035~1305,1505~1805,1935~2205,0005~0205
Qureshi Colony,Liaquatabad,1105~1335,1505~1805,1935~2205,0005~0205
Qutbi Hotel,Baldia,1005~1235,1435~1735,1905~2135,2305~0105
Rabia City 1,Hospital,1035~1305,1505~1805,1935~2205,0005~0205
Raheel Avenue,Valika,0705~0835,1205~1335,1535~1705,2035~2205
Rahman Colony,Baloch Colony,0705~0835,1205~1335,1535~1705,2135~2305
Railway Colony,Elender Rd,1035~1305,1505~1805,1935~2205,0005~0205
Raja Poultry Farm,R E C P,0835~1105,1235~1535,1705~1935,2205~0005
Ram Suami,Garden East,0935~1105,1335~1505,1705~1835,2305~0035
Rangeen Cinema,Landhi,0935~1205,1335~1635,1805~2035,2235~0035
