name,name_original,amenity,shop,tourism,@lat,@lon,final_category
Shining Star School,Shining Star School,school,,,24.9379048,67.0575017,Education
Kiran Achedemy,Kiran Achedemy,school,,,24.9378422,67.0579773,Education
Taimuria Police Station,Taimuria Police Station,police,,,24.9378311,67.0563836,Services
Hyderi Market Police Station,Hyderi Market Police Station,police,,,24.9376468,67.0562252,Services
Shahnawaz Workshop,Shahnawaz Workshop,,car_repair,,24.9376556,67.056984,Transport & Vehicles
Sialkot Lassi,Sialkot Lassi,,beverages,,24.8806423,67.0703088,Food & Dining
The Barber Shop,The Barber Shop,,chemist,,24.8796911,67.0871372,Healthcare
Saint Patricks High School,Saint Patricks High School,school,,,24.8626109,67.0344266,Education
Sattar Bukhsh,Sattar Bukhsh,cafe,,,24.8095658,67.0316976,Food & Dining
Peshawari Chapli Kabab,Peshawari Chapli Kabab,restaurant,,,24.8853352,67.1401332,Food & Dining
Chase,Chase,,supermarket,,24.877619,67.0687601,Shopping & Retail
Meezan bank,Meezan bank,bank,,,24.7813424,67.0571428,Services
Gole Market Jama,Gole Market Jama,place_of_worship,,,24.9143911,67.0235315,Religious & Community
Jinnah Sindh Medical University,Jinnah Sindh Medical University,university,,,24.8509513,67.0454223,Education
Oommen rose garden,Oommen rose garden,,,hostel,24.8743876,67.0463015,Accommodation
Aliabad Jamatkhana,Aliabad Jamatkhana,community_centre,,,24.9210522,67.0641943,Religious & Community
Qabail Masjid/ Qabail Colony,Qabail Masjid/ Qabail Colony,community_centre,,,24.9383308,67.06097,Religious & Community
Al Rayyan Hotel,Al Rayyan Hotel,,,hotel,24.8586305,67.02409,Accommodation
High-Q Pharmacy,High-Q Pharmacy,pharmacy,,,24.877175,67.0944634,Healthcare
Nanak Wada,Nanak Wada,,supermarket,,24.8574901,67.0062963,Shopping & Retail
Usama Chicken,Usama Chicken,hunting_stand,,,24.9110767,67.124399,Other / Unspecified
I4U,I4U,,electronics,,24.9184005,67.0908533,Shopping & Retail
Jamia Masjid Madina,Jamia Masjid Madina,place_of_worship,,,24.9473206,67.04809,Religious & Community
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9476186,67.0511781,Transport & Vehicles
Zia uddin Hospital (OPD),Zia uddin Hospital (OPD),hospital,,,24.9243463,67.0469145,Healthcare
Azeem Public School,Azeem Public School,school,,,24.9307368,67.0378233,Education
SSUET Parking,SSUET Parking,parking_space,,,24.9163492,67.0935375,Other / Unspecified
Soomra PaTex,Soomra PaTex,,furniture,,24.8669417,67.0107579,Shopping & Retail
Taj Banquet,Taj Banquet,community_centre,,,24.9285722,67.034397,Religious & Community
Babar CNG,Babar CNG,fuel,,,24.9417365,67.0350556,Transport & Vehicles
Police Station Shahrah e Noor Jahan,Police Station Shahrah e Noor Jahan,police,,,24.9424363,67.0351801,Services
Samba bank- Tauheed Commercial,Samba bank- Tauheed Commercial,bank,,,24.8069721,67.0384182,Services
Nimco,Nimco,,bakery,,24.8271275,67.0361002,Food & Dining
MCB bank,MCB bank,bank,,,24.8494436,66.9883547,Services
Bank al Habib,Bank al Habib,bank,,,24.7927141,67.0680187,Services
Shell,شیل,fuel,,,24.8295907,67.052452,Transport & Vehicles
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8162153,67.0211255,Services
Red Riding Hood Bakery Badar,Red Riding Hood Bakery Badar,,bakery,,24.8008009,67.0460887,Food & Dining
Subway,سب وے,fast_food,,,24.7961255,67.045213,Food & Dining
Kentucky Fried Chicken,کینٹکی فرائیڈ چکن,fast_food,,,24.7998917,67.0472312,Food & Dining
MCB Bank,ایم سی بی بینک,bank,,,24.8005521,67.0464085,Services
Chase up,Chase up,,convenience,,24.8050945,67.0265294,Shopping & Retail
Daily dubai resturant,Daily dubai resturant,restaurant,,,24.7971902,67.0443407,Food & Dining
Pizza Hut,پیزا ہٹ,fast_food,,,24.7963713,67.0448818,Food & Dining
Summit bank,Summit bank,bank,,,24.7980067,67.0453316,Services
Bank Al Habib,بينک الحبيب,bank,,,24.8005958,67.0463398,Services
Samba bank,Samba bank,bank,,,24.7968232,67.0510806,Services
Standard Chartered,اسٹینڈرڈ چارٹرڈ,bank,,,24.8071094,67.0381844,Services
Askari bank,Askari bank,bank,,,24.8494073,66.987562,Services
DHA Masjid,ڈی ایچ اے مسجد,place_of_worship,,,24.7857286,67.0667689,Religious & Community
BankIslami,بینک اسلامی,bank,,,24.8494305,66.9881192,Services
Meezan bank,Meezan bank,bank,,,24.7863348,67.0575124,Services
Marvi sweets and bakers,Marvi sweets and bakers,,bakery,,24.7966466,67.0451444,Food & Dining
Dhaba,ڈھابہ,cafe,,,24.7802032,67.0550618,Food & Dining
Port Grand,Port Grand,,,attraction,24.8444411,66.9921908,Entertainment & Leisure
Taj Medical Center,Taj Medical Center,hospital,,,24.9252601,67.0914869,Healthcare
Golimar Market,Golimar Market,,hardware,,24.9011071,67.0304545,Shopping & Retail
China Castle - Bahadurabad,China Castle - Bahadurabad,restaurant,,,24.8837861,67.064997,Food & Dining
Bank AL Habib,Bank AL Habib,atm,,,24.9425924,67.0715406,Services
shayan e sheereen,shayan e sheereen,,bakery,,24.9221589,67.1032411,Food & Dining
Afghan Bukhari Restaurant,افغان بخاری ریستوران,restaurant,,,24.8231505,66.9787094,Food & Dining
used garments,used garments,,clothes,,24.8566523,67.008381,Shopping & Retail
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8229961,66.9785697,Services
Askari bank,Askari bank,bank,,,24.8508495,67.017451,Services
Habib Metro Islamic Bank- I.I.Chundrigar,Habib Metro Islamic Bank- I.I.Chundrigar,bank,,,24.8506337,67.017628,Services
Allied bank,Allied bank,bank,,,24.8507727,67.0167898,Services
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8495506,66.9897404,Services
